run,lambda_tv,use_rsl,use_nwd,nwd_mode,nwd_c,size_tau,mAP50,mAP50_95,AP_small,AP_medium,AP_large,L_mean,L_std,pearson,spearman,gamma_final
e2p__postsppf__s0,0.001,False,False,abs,10.24,5.12,0.6868,0.4243,0.1712,0.3043,0.4981,0.6184,0.382,-0.0637,-0.0165,0.003155
e2p__postsppf__s1,0.001,False,False,abs,10.24,5.12,0.6941,0.4244,0.1636,0.3003,0.4972,0.5495,0.3879,0.0846,0.0840,-0.00187
e2p__postsppf__s2,0.001,False,False,abs,10.24,5.12,0.6824,0.4201,0.1528,0.2961,0.4957,0.4573,0.3726,-0.0302,-0.0628,0.002531
e2p__postsppf__s3,0.001,False,False,abs,10.24,5.12,0.6875,0.4193,0.1691,0.2992,0.4913,0.8152,0.2762,-0.0564,-0.0475,0.011772
e6p__lam-1e-5__s0,1e-05,True,False,abs,10.24,5.12,0.6833,0.4223,0.164,0.3011,0.497,0.8178,0.2431,-0.1550,-0.1411,0.016006
e6p__lam-1e-4__s0,0.0001,True,False,abs,10.24,5.12,0.6834,0.4235,0.1693,0.3004,0.4972,0.936,0.1067,0.0006,0.0744,0.002043
e6p__lam-1e-4__s1,0.0001,True,False,abs,10.24,5.12,0.6856,0.4198,0.1762,0.3002,0.4945,0.8394,0.2566,-0.1399,-0.1190,0.007996
e6p__lam-1e-4__s2,0.0001,True,False,abs,10.24,5.12,0.6892,0.4244,0.17,0.2925,0.4998,0.9834,0.0584,0.0117,0.0881,0.002247
e6p__lam-1e-3__s0,0.001,True,False,abs,10.24,5.12,0.6867,0.4226,0.1382,0.3066,0.4951,0.5001,0.0016,0.0726*,0.0718*,0.000282
e6p__lam-1e-2__s0,0.01,True,False,abs,10.24,5.12,0.6852,0.4229,0.1591,0.301,0.4985,0.5003,0.0006,0.0457*,0.0856*,0.002626
e6p__lam-1e-1__s0,0.1,True,False,abs,10.24,5.12,0.6862,0.4232,0.1691,0.2881,0.4984,0.5001,0.0001,0.1682*,0.1928*,0.014175
e7p__nwd-calib__s0,0.01,True,True,abs,10.24,5.12,0.6889,0.4256,0.1378,0.3018,0.5003,0.5019,0.0031,-0.0002*,-0.0100*,0.011795
e7p__nwd-scaleinv__s0,0.01,True,True,scaleinv,0.3,5.12,0.6902,0.4289,0.1612,0.2943,0.504,0.4999,0.0031,-0.1300*,-0.1877*,0.008553
e7p__nwd-calib-norsl__s0,0.0,False,True,abs,10.24,5.12,0.6913,0.4267,0.1797,0.2987,0.5015,0.6616,0.3826,-0.0163,0.0042,0.017899
runs_fixed/e7p__nwd-sizegate__s0,0.0001,True,True,sizegate,10.24,5.12,0.6837,0.4192,0.1719,0.2996,0.493,0.7755,0.3009,-0.1476,-0.1955,-0.00626
runs/detect/runs/e7p__nwd-sizegate__s0,0.01,True,True,sizegate,10.24,5.12,0.5933,0.3562,0.1401,0.2476,0.4252,0.8896,0.1921,0.0547,0.0924,0.010483
